name,height,width,aspect_ratio,compression_ratio,file_size,image_area,entr_color,b_mean,g_mean,r_mean,r_skew,g_skew,b_skew,r_var,g_var,b_var,r_kurt,g_kurt,b_kurt,entr_hsv,h_mean,s_mean,v_mean,h_skew,s_skew,v_skew,h_var,s_var,v_var,h_kurt,s_kurt,v_kurt,lbp,entr_HOG,edges,avg_edge_len,snr,entr_noise
783.jpg,75,540,7.2,11.045454545454545,11000,40500,6.7453263378137791,148.739,142.597,139.595,0.031560457156129706,0.24140945964641988,-0.022812222104694763,6860.1271142497344,5849.6721400528404,5984.7233758858247,1.7344689513275566,1.6516763898925775,1.6936787063896166,6.257437994399611,64.976567901234574,76.573185185185181,162.90498765432099,0.23686936455386653,1.0146873898786033,-0.068187711455611991,2688.9481903982387,5658.9520254601621,4832.0357636606786,1.6381672827530069,3.0544699337240795,1.7811679206380502,0.91753994899117008,0.86996687079915724,29,44.655172413793103,1.85785394729,4.4330224149994422
505.jpg,480,360,0.75,16.17624114581708,32047,172800,6.3585786861139679,67.7077,74.5745,88.327,0.30390827879001436,0.57918023281909681,0.84111224753527314,5073.7741769338945,3834.7358954623578,3350.6308717064335,2.0469789894913681,2.8112614343962417,3.6760609047565826,5.314998504322106,75.193912037037038,64.247505787037042,91.515960648148152,-0.55129663895859227,0.31428577791511958,0.23632320493363873,2712.3829211712041,2171.641557098098,5100.1123269262689,1.5976235030080905,3.9353275841137858,2.0465861543789061,0.97516459569963831,0.69225995224903925,5,15.822494579080393,1.22280873839,3.9456130452193241
392.jpg,389,389,1.0,21.954974125840305,20677,151321,6.2991707961687444,149.977,161.742,176.026,-0.9032007661479009,-0.94631403346184617,-1.0887396412380099,1241.923552735924,1226.2761829236056,1705.5880518107322,4.171602828669652,3.7169506349379668,3.6748449702124861,5.5618082865840499,106.13802446454888,42.125851666325232,176.31341981615242,-2.5559056436412675,1.7894966633428147,-0.84172152749362505,367.6911394464276,1246.5126307220889,1211.4935794236012,16.449819211975477,6.2789912728652872,3.8693741476485499,1.1409484407591046,0.5099737024924379,3,78.889507952600454,4.66367191178,3.731160287859411
655.jpg,332,423,1.2740963855421688,20.033666191155493,21030,140436,6.3375827554440782,140.801,149.338,162.284,-0.16539580314929561,0.18689463044835025,0.3738448887446279,5092.2061309502615,5447.3376579912419,6182.8128885249407,1.9103277027110279,1.764453281398306,1.694629429033365,5.4835529789289135,83.510460280839666,48.242366629639122,163.77811244979921,-0.65054632024241044,0.3699685955701269,-0.10380155642898327,2482.2715251457789,1656.0886073060633,5090.1025582087677,2.3857770936845459,2.1129173035258688,1.8114394477110833,1.1867667801973905,0.67367380993531123,0,0,2.08308997282,3.9657932118845993
HBEAKBAOEIKFBGPEPEPBIEMEFGAA.rabbi@pobox.upenn.edu_image001.jpg,128,128,1.0,19.466138613861386,2525,16384,4.0855081699781008,203.269,217.952,227.018,-1.7886828424725663,-1.7572712138879465,-1.7245760524583302,39.206647134224504,39.313915339070988,40.336957516938291,16.940263564637455,16.925025634972062,16.320641088766727,2.0717337488241565,101.25872802734375,26.67132568359375,227.018310546875,3.3298268704946254,-0.96199860884316091,-1.788682796437598,0.95039076433436143,1.8989860713027127,39.206647551482483,13.999590995054934,13.343755315333159,16.940263806723934,0.66101422354176964,1.0299246318393149,0,0,34.9547374623,4.0851264450848292
1155.png,50,50,1.0,4.345307068366164,1726,2500,2.7546028589415226,157.577,187.081,191.334,-1.1615488396466711,-1.0470975994149327,-0.3134532788871896,8342.3921568627447,7110.4777911164465,10656.085634253701,2.6744539214717462,2.7514282076604042,1.3131352747111276,2.3367745134930531,25.5688,64.023200000000003,198.7884,1.1310000928512529,0.88221843609773409,-1.3565566433387355,1634.7111510204084,8471.7217504601831,6816.4301975190074,2.3580939586305596,1.9113736145542226,3.431682838873952,1.0003804101779583,0.68112109595589865,0,0,2.17019665952,3.6964779330586977
1121.png,35,32,0.9142857142857143,11.707317073170731,287,1120,0.75986429553555079,221.25,221.25,221.25,-2.1782340255017543,-2.1782340255017543,-2.1782340255017543,7159.7015192135832,7159.7015192135832,7159.7015192135832,5.8173764261569127,5.8173764261569127,5.8173764261569127,0.25328809851185025,0.0,0.0,221.25,0.0,0.0,-2.1782340328773571,0.0,0.0,7159.7015192135832,0.0,0.0,5.8173764123998462,0.64716171890372121,0.11513797677883272,0,0,2.61595210768,0.52167345606541471
b80e906e0512251951y4b4de29exc43d1e35a3d4befa@mail.gmail.com_,1944,2592,1.3333333333333333,12.602213394580309,1199515,5038848,6.4085958561931289,68.6577,73.9706,81.0363,0.83564071442273136,0.89256744776215446,0.69985348438666284,4921.1089378185125,4398.3295829383187,3451.3558645459962,2.2723639666057109,2.4343497602759374,1.9301545118494059,6.0689923818734606,78.735495891124316,56.713752429126657,84.031903125476305,-0.22852928211442738,0.91044609941594501,0.78682856864986261,2440.7728462447285,2352.4918086471321,4906.9368437686362,1.9189080383478467,2.8784935959196631,2.2049284794164006,0.97614014352965495,0.742831549244789,122,16.698852846437561,1.14165040227,3.6826980116023784
HBEAKBAOEIKFBGPEPEPBCEDJEDAA.rabbi@pobox.upenn.edu_image001.jpg,128,128,1.0,19.466138613861386,2525,16384,4.0855081699781008,203.269,217.952,227.018,-1.7886828424725663,-1.7572712138879465,-1.7245760524583302,39.206647134224504,39.313915339070988,40.336957516938291,16.940263564637455,16.925025634972062,16.320641088766727,2.0717337488241565,101.25872802734375,26.67132568359375,227.018310546875,3.3298268704946254,-0.96199860884316091,-1.788682796437598,0.95039076433436143,1.8989860713027127,39.206647551482483,13.999590995054934,13.343755315333159,16.940263806723934,0.66101422354176964,1.0299246318393149,0,0,34.9547374623,4.0851264450848292
65.jpg,425,319,0.7505882352941177,9.52852290031627,42685,135575,6.838201277681053,103.691,145.407,189.05,-1.3134092695341315,-0.38555275855907839,0.46004159440513104,2293.5968253499932,3513.0702937141341,3855.4153451251714,4.4382542539780863,2.1515853238698108,2.0456949657226633,6.1113279306337711,102.90347040383551,117.72773741471511,189.62292458049049,-2.3443827619385074,-0.098707669253601596,-1.3105072746188939,371.74697004716978,4868.7175582593427,2254.6360743977743,15.899956615031478,1.6176820815144202,4.427727743732814,1.1026333957955921,0.7443669381146657,7,59.571428571428569,2.92859654867,4.813467371866297
